asset_id,prediction_timestamp,machine_type,run_hours,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,maintenance_timestamp,maintenance_type,failure_timestamp,failure_mode,downtime_minutes,repair_cost
MACHINE_001,2026-01-01T00:00:00+00:00,pump,9000.0,1.9635,145.3298,0,0,97.6068,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-01-02T00:00:00+00:00,pump,9025.41,1.8981,141.8893,0,0,120.867,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-01-03T00:00:00+00:00,pump,9044.87,1.9487,146.8543,0,0,104.9245,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-01-04T00:00:00+00:00,pump,9062.51,1.8867,146.2481,0,0,113.1133,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-01-05T00:00:00+00:00,pump,9086.94,2.0812,142.505,0,0,112.885,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-01-06T00:00:00+00:00,pump,9128.7,2.0327,145.163,0,0,139.2673,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-01-07T00:00:00+00:00,pump,9114.24,1.9825,140.6458,0,0,130.585,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-01-08T00:00:00+00:00,pump,9172.63,1.9762,140.9919,0,0,128.1722,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-01-09T00:00:00+00:00,pump,9168.8,1.9697,146.8513,0,0,124.5057,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-01-10T00:00:00+00:00,pump,9162.53,2.1009,148.5533,0,0,130.4177,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-01-11T00:00:00+00:00,pump,9216.71,2.1266,147.9816,0,0,121.8763,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-01-12T00:00:00+00:00,pump,9239.46,2.0723,144.7448,0,0,117.8592,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-01-13T00:00:00+00:00,pump,9269.68,2.0088,144.8947,0,0,133.8241,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-01-14T00:00:00+00:00,pump,9276.49,2.2269,145.2282,0,0,137.9861,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-01-15T00:00:00+00:00,pump,9284.88,2.0814,142.4789,0,0,135.8224,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-01-16T00:00:00+00:00,pump,9318.77,2.2587,145.6919,0,0,138.5511,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-01-17T00:00:00+00:00,pump,9380.46,2.26,145.1421,0,0,129.9223,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-01-18T00:00:00+00:00,pump,9400.7,2.2824,146.3011,0,0,139.9916,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-01-19T00:00:00+00:00,pump,9376.1,2.3167,148.1736,0,0,135.8314,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-01-20T00:00:00+00:00,pump,9448.36,2.1677,143.6657,0,0,142.0708,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-01-21T00:00:00+00:00,pump,9431.9,2.2732,154.5423,0,0,146.8926,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-01-22T00:00:00+00:00,pump,9412.0,2.307,145.9342,0,0,149.365,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-01-23T00:00:00+00:00,pump,9529.5,2.3782,151.0741,0,0,127.9458,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-01-24T00:00:00+00:00,pump,9533.57,2.3211,151.4427,0,0,159.8686,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-01-25T00:00:00+00:00,pump,9495.33,2.3016,151.618,0,0,158.8871,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-01-26T00:00:00+00:00,pump,9635.02,2.432,157.143,0,0,140.3422,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-01-27T00:00:00+00:00,pump,9667.38,2.3923,146.172,0,0,145.9619,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-01-28T00:00:00+00:00,pump,9591.99,2.3622,153.3216,0,0,169.5959,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-01-29T00:00:00+00:00,pump,9578.27,2.4966,148.4983,0,0,153.7501,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-01-30T00:00:00+00:00,pump,9729.91,2.4502,150.397,0,0,163.1773,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-01-31T00:00:00+00:00,pump,9607.5,2.4907,149.0916,0,0,149.0988,2026-01-30T20:00:00+00:00,planned_inspection,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-02-01T00:00:00+00:00,pump,9785.17,2.5459,160.6949,0,0,165.2337,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-02-02T00:00:00+00:00,pump,9788.43,2.4486,150.1516,0,0,178.1355,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-02-03T00:00:00+00:00,pump,9729.98,2.6305,150.7892,0,0,162.1448,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-02-04T00:00:00+00:00,pump,9730.35,2.5802,152.1707,0,0,155.1899,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-02-05T00:00:00+00:00,pump,9880.17,2.5012,155.869,0,0,162.784,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-02-06T00:00:00+00:00,pump,9755.61,2.6463,160.7916,0,0,158.5193,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-02-07T00:00:00+00:00,pump,9737.33,2.6777,162.0995,0,0,151.8283,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-02-08T00:00:00+00:00,pump,9866.21,2.7955,163.24,0,0,161.6856,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-02-09T00:00:00+00:00,pump,9858.23,2.5949,153.1553,0,0,163.0159,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-02-10T00:00:00+00:00,pump,9936.85,2.6904,158.4734,1,0,169.3122,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-02-11T00:00:00+00:00,pump,9803.53,2.5594,157.3172,0,0,157.6627,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-02-12T00:00:00+00:00,pump,9797.58,2.7167,161.5645,0,0,171.6016,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-02-13T00:00:00+00:00,pump,10002.03,2.8025,156.3531,0,0,182.7673,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-02-14T00:00:00+00:00,pump,9987.43,2.8904,158.0607,0,0,171.9455,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-02-15T00:00:00+00:00,pump,10157.84,2.8176,154.73,0,0,177.9109,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
MACHINE_001,2026-02-16T00:00:00+00:00,pump,10116.79,2.9736,156.0435,0,0,162.4386,,,2026-03-21T10:00:00+00:00,synthetic_degradation_failure,360,9000
